0          References for Cross Section of tCO       Total   
tCO is equivalent to CO(a^3Pi)                                                  
                                                                                
0          References for Cross Section of tCO       CO+     
tCO is equivalent to CO(a^3Pi)                                                  
Branching ratio assumed to be the same as that for the ground state.            
                                                                                
0          References for Cross Section of tCO       C+O     
tCO is equivalent to CO(a^3Pi)                                                  
Branching ratio assumed to be the same as that for the ground state.            
                                                                                
0          References for Cross Section of tCO       O+C     
tCO is equivalent to CO(a^3Pi)                                                  
Branching ratio assumed to be the same as that for the ground state.            
                                                                                
0 Branching ratio for tCO      Total        4 branches
 Lambda  Total   CO+      C+O      O+C      C/O     
 1013.0 1.98E-17 1.66E-17 0.00E+00 0.00E+00 3.20E-18
 1015.2 3.18E-17 2.28E-17 0.00E+00 0.00E+00 8.96E-18
 1019.0 3.19E-17 1.77E-17 0.00E+00 0.00E+00 1.42E-17
 1028.6 2.14E-17 1.54E-17 0.00E+00 0.00E+00 5.97E-18
 1037.6 2.81E-17 1.95E-17 0.00E+00 0.00E+00 8.61E-18
 1041.0 2.12E-17 1.56E-17 0.00E+00 0.00E+00 5.65E-18
 1058.0 2.27E-17 1.53E-17 0.00E+00 0.00E+00 7.41E-18
 1069.5 2.53E-17 1.74E-17 0.00E+00 0.00E+00 7.91E-18
 1072.9 2.18E-17 1.63E-17 0.00E+00 0.00E+00 5.49E-18
 1076.4 2.37E-17 1.83E-17 0.00E+00 0.00E+00 5.36E-18
 1081.0 2.25E-17 1.66E-17 0.00E+00 0.00E+00 5.91E-18
 1085.7 2.68E-17 1.87E-17 0.00E+00 0.00E+00 8.13E-18
 1089.2 2.37E-17 1.70E-17 0.00E+00 0.00E+00 6.71E-18
 1096.2 3.09E-17 2.21E-17 0.00E+00 0.00E+00 8.81E-18
 1097.3 2.34E-17 1.66E-17 0.00E+00 0.00E+00 6.84E-18
 1102.0 2.52E-17 1.95E-17 0.00E+00 0.00E+00 5.70E-18
 1106.7 3.27E-17 2.25E-17 0.00E+00 0.00E+00 1.02E-17
 1111.5 2.64E-17 1.61E-17 0.00E+00 0.00E+00 1.03E-17
 1113.8 3.01E-17 1.75E-17 0.00E+00 0.00E+00 1.26E-17
 1118.3 4.92E-17 2.98E-17 0.00E+00 0.00E+00 1.94E-17
 1120.9 2.68E-17 1.62E-17 0.00E+00 0.00E+00 1.06E-17
 1122.1 2.83E-17 1.60E-17 0.00E+00 0.00E+00 1.23E-17
 1126.9 2.57E-17 1.45E-17 0.00E+00 0.00E+00 1.12E-17
